"A block identifier with the same properties already exists in the selected store.","선택하신 상점에 동일한 블럭 식별자가 있습니다."
"A directory with the same name already exists. Please try another folder name.","동일한 폴더가 존재합니다. 다른 폴더명을 입력하십시오."
"A page URL key for specified store already exists.","페이지 URL key가 지정하신 상점에 존재합니다."
"Action","동작"
"Add New Block","신규 블럭 추가"
"Add New Page","신규 페이지 추가"
"All Countries","모든 국가"
"An error occurred while saving the page.","페이지 저장시 오류가 발생하였습니다."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","선택하신 폴더를 삭제하시겠습니까?"
"Are you sure you want to delete the selected file?","선택하신 파일을 삭제하시겠습니까?"
"Block","블럭"
"Block Information","블럭 정보"
"Block Title","블럭 제목"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS 홈페이지"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS 페이지"
"CMS Page Link","CMS 페이지 링크"
"CMS Page Link Block Template","CMS 페이지 링크 블럭 템플릿"
"CMS Page Link Inline Template","CMS 페이지 링크 Inline 템플릿"
"CMS Pages (All)","CMS 페이지 (All)"
"CMS Static Block","CMS 고정 블럭"
"CMS Static Block Default Template","CMS 고정 블럭 기본 템플릿"
"Cannot create new directory.","신규 폴더를 생성할 수 없습니다."
"Cannot delete directory %s.","%s 폴더를 삭제할 수 없습니다."
"Cannot delete root directory %s.","최상위 폴더 %s 를 삭제할 수 없습니다."
"Cannot upload file.","파일을 업로드 할 수 없습니다."
"Collapse All","모두접기"
"Content","컨텐츠"
"Content Heading","컨텐츠 해더"
"Content Management","컨텐츠 관리"
"Contents of a Static Block","고정 블럭 컨텐츠"
"Create Folder...","폴더 생성..."
"Custom Design","사용자 디자인"
"Custom Design From","사용자 디자인 시작"
"Custom Design To","사용자 디자인 종료"
"Custom Layout","사용자 레이아웃"
"Custom Layout Update XML","사용자 레이아웃 업데이트 XML"
"Custom Theme","사용자 테마"
"Customer Tax Class Information","사용자 세금 클레스 정보"
"Date Created","생성일"
"Delete Block","블럭 삭제"
"Delete File","파일 삭제"
"Delete Folder","폴더 삭제"
"Delete Page","페이지 삭제"
"Description","설명"
"Design","디자인"
"Disabled","비활성화"
"Disabled Completely","완전히 미사용"
"Disabled by Default","기본으로 미사용"
"Edit Block","블럭 수정"
"Edit Block '%s'","블럭 수정 '%s'"
"Edit Page","페이지 수정"
"Edit Page '%s'","페이지 수정 '%s'"
"Enable WYSIWYG Editor","WYSIWYG 에디터 활성"
"Enabled","활성"
"Enabled by Default","기본으로 활성"
"Expand All","모두 확장"
"General Information","일반 정보"
"Go to Home Page","홈페이지 가기"
"Home","홈"
"ID","ID"
"Identifier","식별자"
"If empty, the Page Title will be used","공란으로 하시면 페이지 제목이 사용됩니다."
"Images (%s)","이미지 (%s)"
"Insert File","파일 삽입"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","폴더명이 유효하지 않습니다. 알파벳문자, 숫자(0-9), _,- 만 사용가능합니다."
"Keywords","키워드"
"Last Modified","마지막 수정일"
"Layout","페이아웃"
"Layout Update XML","페이아웃 수정 XML"
"Link to a CMS Page","CMS 페이지 링크"
"Manage Pages","관리 페이지"
"Media Gallery","미디어 겔러리"
"Media Storage","미디어 저장소"
"Meta Data","메타 데이터"
"Meta Description","메타 설명"
"Meta Keywords","메타 키워드"
"New Block","신규 블럭"
"New Folder Name:","새 폴더 명:"
"New Page","신규 페이지"
"No files found","파일을 찾을 수 없습니다."
"Page Information","페이지 정보"
"Page Layout","페이지 레이아웃"
"Page Status","페이지 상태"
"Page Title","페이지 제목"
"Pages","페이지"
"Product Tax Class Information","상품 세금 Class 정보"
"Redirect to CMS-page if Cookies are Disabled","쿠키 비활성화시 이동 CMS-page"
"Relative to Website Base URL","Relative to Website Base URL"
"Save Block","Save Block"
"Save Page","페이지 저장"
"Save Process","Save Process"
"Select Block...","블럭 선택..."
"Select Page...","페이지 선택..."
"Show Breadcrumbs for CMS Pages","CMS 페이지를 위한 Breadcrumbs 보기"
"Show Notice if JavaScript is Disabled","자바스크립트 비활성시 공지보기"
"Static Blocks","고정 블럭"
"Status","상태"
"Storage Root","최상위 저장소"
"Store View","상점 뷰"
"Template","템플릿"
"The block has been deleted.","블록이 삭제되었습니다."
"The block has been saved.","블록이 저장되었습니다."
"The directory %s is not writable by server.","%s 폴더가 쓰기금지 상태입니다."
"The page URL key cannot consist only of numbers.","page URL key는 숫자로만 이루어질 수 없습니다."
"The page URL key contains capital letters or disallowed symbols.","page URL key는 대문자나 허용되지 않은 문자를 포함 할 수 없습니다."
"The page has been deleted.","페이지가 삭제되었습니다."
"The page has been saved.","페이지가 저장되었습니다."
"The static block content cannot contain  directive with its self.","고정 블럭 내용에 자기자신을 포함할 수 없습니다."
"This block no longer exists.","블록이 존재하지 않습니다."
"This page no longer exists.","페이지가 존재하지 않습니다."
"Title","타이틀"
"URL Key","URL Key"
"Unable to find a block to delete.","삭제할 블럭을 찾을 수 없습니다."
"Unable to find a page to delete.","삭제할 페이지를 찾을 수 없습니다."
"WYSIWYG Options","WYSIWYG 옵션"
"px.","px."
