"Actions","동작"
"Add Answer","답변 등록"
"Add New Answer","새로운 답변 등록"
"Add New Poll","새로운 설문조사 등록"
"Answer Title","답변 제목"
"Answer Title:","답변 제목:"
"Answer with the same title in this poll","이 설문조사에 같은 답변이 있습니다."
"Are you sure you want to delete it?","삭제하시겠습니까?"
"Assigned Answers","지정된 답변"
"Closed","닫기"
"Community Poll","설문조사"
"Date Closed","종료일"
"Date Posted","등록일"
"Delete","삭제"
"Delete Answer","질문 삭제"
"Delete Poll","설문조사 삭제"
"Disallow Voting in a Poll Multiple Times from Same IP-address","동일한 아이피에서 중복 투표 금지"
"Edit Answer '%s'","답변 '%s' 수정"
"Edit Poll '%s'","설문조사 '%s' 수정"
"Edit Poll Answer","설문조사 답변 수정"
"ID","ID"
"Invalid Answer.","유효하지 않은 답변."
"New Poll","신규 설문조사"
"Number of Responses","응답수"
"Open","열기"
"Poll Answers","설문조사 답변"
"Poll Information","설문조사 정보"
"Poll Manager","설문조사 관리"
"Poll Question","설문조사 질문"
"Poll information","설문조사 정보"
"Poll with the same question","동일한 질문이 있습니다."
"Polls","설문조사"
"Save Answer","답변 저장"
"Save Poll","설문조사 저장"
"Status","상태"
"The answer has been saved.","답변이 저장되었습니다."
"The poll does not exist.","설문조사가 존재하지 않습니다."
"Unable to find an answer to delete.","삭제할 답변이 존재하지 않습니다."
"Visible In","표시 "
"Vote","Vote"
"Votes Count","투표수"
"Votes Count:","투표수:"
